Assessment Name,URL,Description,Remote Support,Adaptive Support,Duration,Test Type
Cognitive Ability Test v61,https://www.shl.com/v61/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 61 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v62,https://www.shl.com/v62/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 62 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v63,https://www.shl.com/v63/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 63 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v64,https://www.shl.com/v64/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 64 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v65,https://www.shl.com/v65/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 65 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v66,https://www.shl.com/v66/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 66 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v67,https://www.shl.com/v67/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 67 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v68,https://www.shl.com/v68/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 68 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v69,https://www.shl.com/v69/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 69 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v70,https://www.shl.com/v70/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 70 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v71,https://www.shl.com/v71/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 71 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v72,https://www.shl.com/v72/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 72 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v73,https://www.shl.com/v73/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 73 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v74,https://www.shl.com/v74/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 74 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v75,https://www.shl.com/v75/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 75 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v76,https://www.shl.com/v76/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 76 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v77,https://www.shl.com/v77/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 77 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v78,https://www.shl.com/v78/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 78 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v79,https://www.shl.com/v79/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 79 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v80,https://www.shl.com/v80/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 80 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v81,https://www.shl.com/v81/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 81 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v82,https://www.shl.com/v82/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 82 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v83,https://www.shl.com/v83/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 83 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v84,https://www.shl.com/v84/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 84 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v85,https://www.shl.com/v85/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 85 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v86,https://www.shl.com/v86/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 86 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v87,https://www.shl.com/v87/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 87 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v88,https://www.shl.com/v88/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 88 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v89,https://www.shl.com/v89/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 89 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v90,https://www.shl.com/v90/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 90 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v91,https://www.shl.com/v91/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 91 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v92,https://www.shl.com/v92/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 92 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v93,https://www.shl.com/v93/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 93 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v94,https://www.shl.com/v94/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 94 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v95,https://www.shl.com/v95/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 95 tailored for different industries.,Yes,Yes,39,Soft Skills
Cognitive Ability Test v96,https://www.shl.com/v96/product/cognitive-ability-test/,"Measures problem-solving, logical reasoning, and learning agility. Version 96 tailored for different industries.",Yes,Yes,30,Cognitive
Personality Questionnaire v97,https://www.shl.com/v97/product/personality-questionnaire/,Assesses traits and behavioral styles for workplace fit. Version 97 tailored for different industries.,Yes,No,26,Personality
Java Developer Test v98,https://www.shl.com/v98/product/java-developer-test/,Assesses Java programming skills including algorithms and OOP. Version 98 tailored for different industries.,Yes,No,42,Technical
Data Analyst Assessment v99,https://www.shl.com/v99/product/data-analyst-assessment/,"Tests SQL, Excel, data interpretation and problem-solving. Version 99 tailored for different industries.",Yes,Yes,48,Technical
Business Communication Skills v100,https://www.shl.com/v100/product/business-communication-test/,Evaluates writing and verbal communication in business context. Version 100 tailored for different industries.,Yes,Yes,39,Soft Skills
